id,name,host_id,host_name,neighbour_hood_info,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
188661,"Large, sunny garden apartment.",909146,Mj,"Brooklyn,Prospect Heights",40.68262,-73.97299,Entire home/apt,170,3,67,10/20/2018,0.7,1,129
188674,UNION SQUARE/ E. VILL 1BR BEAUTIFUL,909234,Leslie,"Manhattan,East Village",40.73217,-73.98801,Entire home/apt,165,1,63,1/12/2018,0.68,1,0
189135,Hell's Kitchen Funky 80's Hideaway!,179020,Michael,"Manhattan,Hell's Kitchen",40.76311,-73.99388,Private room,99,1,89,7/1/2019,1,1,353
189181,Room in Chic Modern High Line Luxury- New!,912541,David,"Manhattan,Chelsea",40.74695,-74.00454,Private room,255,4,1,4/20/2014,0.02,1,365
189732,Family & Friends in New York City,489400,O'Dell,"Brooklyn,East New York",40.67497,-73.87305,Entire home/apt,169,3,177,6/29/2019,1.86,1,297
189787,Spacious & Comfy BK Brownstone,915640,Sundiata,"Brooklyn,Crown Heights",40.66788,-73.94813,Entire home/apt,99,4,90,6/30/2019,0.94,1,56
190267,Large Luxury Upper East Side Studio,918866,Marina,"Manhattan,Upper East Side",40.76684,-73.95944,Entire home/apt,169,7,39,7/7/2019,0.41,1,44
190542,Chateau Style Brooklyn Loft for Singles or Couples,920542,Farrah,"Brooklyn,Bedford-Stuyvesant",40.68967,-73.95445,Entire home/apt,160,3,42,5/18/2019,0.44,1,355
190968,Lovely Brooklyn Brownstone 1BR!,922922,Karen,"Brooklyn,Prospect Heights",40.67946,-73.96501,Entire home/apt,215,3,33,5/8/2019,0.35,1,156
190974,Beautiful Grdn. Apt. in Park Slope,874471,Alan,"Brooklyn,Park Slope",40.66944,-73.98083,Entire home/apt,130,3,179,5/29/2019,2.02,1,273
191075,Sun-drenched East Village Penthouse,923915,Matthew,"Manhattan,East Village",40.72566,-73.97748,Private room,110,3,81,3/28/2019,0.85,2,274
193105,Columbus Circle Luxury Bldg - Private Room&Bath,936114,Marcela,"Manhattan,Hell's Kitchen",40.7709,-73.99181,Private room,150,28,43,6/29/2019,0.45,2,258
193333,Bright Private Bedroom in Williamsburg (Bedford L),302936,Melody,"Brooklyn,Williamsburg",40.71943,-73.95958,Private room,65,30,52,10/31/2018,0.54,1,276
193393,"Spacious, Kid-Friendly, and 15-20 Mins. to Midtown",938056,Mike,"Queens,Sunnyside",40.74249,-73.92466,Private room,75,2,160,6/25/2019,1.68,1,65
193853,Quiet Chelsea Studio w/Charm,48599,Anastasia,"Manhattan,Chelsea",40.74033,-74.00024,Entire home/apt,149,6,23,5/21/2018,0.27,2,0
194154,Large Room Overlooking Central Park,936830,Elina,"Manhattan,Upper West Side",40.7969,-73.96128,Private room,89,6,35,6/18/2017,0.37,1,180
195123,"Cheerful, comfortable room",940724,Susan,"Manhattan,Washington Heights",40.83403,-73.94553,Private room,50,1,225,6/12/2019,2.35,1,343
195233,Hospitality on Propsect Pk-12 yrs Hosting Legally!,949221,Dennis,"Brooklyn,Prospect-Lefferts Gardens",40.65513,-73.95641,Private room,43,1,401,7/4/2019,6.62,2,43
195240,"Prospect Pk*NYC in 5 stops* Cozy,Clean & Legal!",949221,Dennis,"Brooklyn,Prospect-Lefferts Gardens",40.65589,-73.95539,Private room,42,1,72,6/17/2019,0.84,2,96
195578,Loft Style Apt in Williamsburg,304493,Erika,"Brooklyn,Williamsburg",40.70275,-73.94501,Private room,85,1,46,12/30/2018,0.97,1,59
195971,2 Beds over Bed-Stuy,953279,Tim,"Brooklyn,Bedford-Stuyvesant",40.68897,-73.93569,Entire home/apt,139,3,83,6/23/2019,1.19,1,255
195989,"Sunny, Large, Park Slope Bedroom",611716,Elizabeth,"Brooklyn,Park Slope",40.67617,-73.98136,Private room,105,1,211,6/15/2019,2.21,2,252
196010,Huge Bklyn Loft w Private Roofdeck,953565,Vanessa,"Brooklyn,Park Slope",40.67595,-73.98053,Entire home/apt,265,5,15,6/14/2015,0.16,1,0
197155,Quiet Jr Alcove Near Times Square!,960836,Vlad,"Manhattan,Hell's Kitchen",40.76415,-73.99067,Entire home/apt,149,1,122,6/23/2019,1.29,1,20
197753,Large room in elevator drman bldg,964482,Colin,"Manhattan,Harlem",40.83127,-73.94718,Private room,68,2,295,6/12/2019,3.9,2,188
197942,"Comfy, Cozy, Brooklyn close to Manhattan",289135,Toni,"Brooklyn,Bedford-Stuyvesant",40.68497,-73.95592,Entire home/apt,99,3,207,7/7/2019,2.18,1,304
199195,Modern Bedroom in Hamilton Heights,971075,Jabari,"Manhattan,Harlem",40.82922,-73.94174,Private room,75,3,50,3/30/2019,0.65,2,38
199312,Sunny Space in Williamsburg,973438,Susanne,"Brooklyn,Williamsburg",40.71137,-73.94362,Private room,100,2,273,6/24/2019,2.85,1,254
200645,Best Manhattan Studio Deal!   ,933378,Edo,"Manhattan,Upper East Side",40.76739,-73.9557,Shared room,90,1,0,,,1,0
200955,STYLISH EAST VILLAGE FLAT,568325,Simone,"Manhattan,East Village",40.73089,-73.98195,Entire home/apt,160,30,25,4/30/2018,0.26,1,46
201992,Serene Park Slope Garden Apartment,988350,Andrea,"Brooklyn,Park Slope",40.6755,-73.97859,Entire home/apt,190,4,105,5/11/2019,1.62,1,328
202273,Cozy and spacious - rare for NYC!,918087,Kestrel,"Brooklyn,Bedford-Stuyvesant",40.68812,-73.94934,Private room,67,4,72,12/26/2016,0.76,3,0
203901,Beautiful UES apartment,1000477,Elizabeth,"Manhattan,Upper East Side",40.7694,-73.9572,Entire home/apt,190,1,8,9/18/2016,0.08,1,0
204065,St. James Pl Garden Studio 1block to PRATT &Gtrain,51038,Erica,"Brooklyn,Clinton Hill",40.68634,-73.96161,Entire home/apt,248,2,58,6/4/2019,0.61,6,199
204833,"Great, spacious apt in Williamsburg",903686,Melanie,"Brooklyn,Williamsburg",40.7093,-73.9497,Private room,100,6,8,9/17/2015,0.09,1,249
204959,Comfortable. Spacious. Private Room.,464506,Ange,"Manhattan,Chinatown",40.713,-73.99752,Private room,95,3,172,7/2/2019,1.84,2,64
205043,Modern Condo in Midtown,1007558,Welcome To My Place,"Manhattan,Theater District",40.75895,-73.9883,Private room,150,1,330,6/20/2019,7.14,1,111
205485,Ideal Brooklyn Brownstone Apartment,1010242,Zora & Chris,"Brooklyn,Bedford-Stuyvesant",40.68186,-73.94113,Entire home/apt,145,3,123,6/11/2019,1.29,1,287
205735,"A Cozy Oasis in Bushwick, NY",1011426,Danielle,"Brooklyn,Bushwick",40.68364,-73.91076,Private room,41,2,55,4/30/2019,0.59,1,286
205867,Private Entrance - Private Parking,1012691,Tiffaney,"Brooklyn,Williamsburg",40.71893,-73.9428,Entire home/apt,120,4,87,7/3/2019,0.99,1,263
206071,Yankee Stadium Oasis 2 stops to Manhattan!,12221,Lori,"Bronx,Concourse Village",40.82802,-73.92039,Private room,50,3,258,6/25/2019,2.7,2,276
206316,"Sunny, Spacious Studio in Ft.Greene",1014639,Brett,"Brooklyn,Fort Greene",40.68765,-73.97073,Entire home/apt,157,2,4,8/27/2018,0.18,1,0
206772,Williamsburg Exposed Brick Loft,1017473,Evan,"Brooklyn,Williamsburg",40.71413,-73.96596,Entire home/apt,195,14,31,5/26/2019,0.33,1,263
206957,Bright Modern Charming Housebarge,1018472,Angus,"Brooklyn,Sheepshead Bay",40.58422,-73.94079,Entire home/apt,70,4,128,11/15/2016,1.34,2,90
208148,Central Bedford Avenue Apartment,1024355,Martina,"Brooklyn,Williamsburg",40.71973,-73.95582,Entire home/apt,185,3,14,8/31/2015,0.15,1,0
208889,Welcome to Brooklyn! Bed-Stuy,1029021,Jameelah,"Brooklyn,Bedford-Stuyvesant",40.69025,-73.93323,Entire home/apt,145,3,30,6/24/2019,0.32,3,11
209310,Sunnyside NYC/ AC room/ city views/ near Midtown,1031148,Iulia,"Queens,Sunnyside",40.73826,-73.92458,Private room,50,28,258,5/28/2019,2.9,1,287
211078,Greenpoint Waterfront Loft,306739,Maya,"Brooklyn,Greenpoint",40.73049,-73.96115,Entire home/apt,185,3,228,4/25/2018,2.39,3,1
211974,East Village House -- Unique!,272730,Goldi,"Manhattan,East Village",40.72956,-73.97903,Entire home/apt,250,1,60,7/1/2019,0.65,1,0
212109,2-bedroom share in heart of Greenwich Village!,666271,Susan,"Manhattan,West Village",40.73854,-74.00821,Private room,80,90,9,6/30/2019,0.2,1,338
212178,1 Bedroom Pre War apt,1094178,Jeremy,"Manhattan,Theater District",40.75877,-73.98863,Entire home/apt,230,2,179,6/19/2019,1.88,1,44
212544,Quiet One Bedroom in Park Slope,1096084,Daniel,"Brooklyn,Gowanus",40.67688,-73.9859,Entire home/apt,100,7,9,6/23/2016,0.1,1,0
213272,CreaTive Live-In Artspace/Birdsnest,293130,Meli,"Brooklyn,Bushwick",40.70051,-73.92204,Private room,40,1,1,4/21/2019,0.37,1,5
213330,RARE Penthouse Oasis featured on DesignSponge,800223,Nader,"Manhattan,Lower East Side",40.71712,-73.98898,Private room,200,30,25,8/29/2018,0.49,1,0
214917,New Clean Spacious Bed & Breakfast,1109658,Carmel,"Staten Island,Emerson Hill",40.60742,-74.14388,Private room,80,2,2,2/8/2018,0.05,1,158
215560,"Sunny, calm room in Victorian home",1112560,Mary,"Brooklyn,Bedford-Stuyvesant",40.68741,-73.95741,Private room,79,3,152,6/25/2019,1.6,3,192
215784,Modern Unique Studio in NYC,864735,Jason,"Queens,Long Island City",40.75627,-73.9211,Entire home/apt,95,30,24,3/31/2019,0.25,8,358
215907,"2 Bed, 2 Bath Apartment on Central Park West",1114587,Keenan & Emily,"Manhattan,Upper West Side",40.79816,-73.9619,Entire home/apt,300,2,45,4/22/2019,0.47,3,31
217580,"Luxury Furnished 1 bedro, Bay Ridge",1121193,Samuel,"Brooklyn,Fort Hamilton",40.61927,-74.0307,Entire home/apt,100,30,7,11/14/2018,0.08,1,241
218358,Your Haven in the Upper West Side,1129218,Orlando,"Manhattan,Harlem",40.8078,-73.95208,Private room,80,7,19,6/3/2019,0.35,1,285
219066,"Wonderful Studio In Brooklyn, NY!!!",447754,Yana,"Brooklyn,Bensonhurst",40.61922,-73.99399,Entire home/apt,110,1,24,1/19/2019,0.26,1,183
219482,A Cozy Brooklyn Hideaway,759583,Pepe,"Brooklyn,Clinton Hill",40.68275,-73.96148,Entire home/apt,172,4,8,10/14/2017,0.09,2,189
219793,âœ¿âœ¿âœ¿ COUNTRY COTTAGE IN THE CITYâœ¿âœ¿âœ¿,1138692,Keera (Jena),"Manhattan,Lower East Side",40.71813,-73.98416,Entire home/apt,199,1,29,6/3/2015,0.31,2,162
219818,âœ¿âœ¿âœ¿ COUNTRY COTTAGE IN THE CITYâœ¿âœ¿âœ¿,1138692,Keera (Jena),"Manhattan,Lower East Side",40.71892,-73.98401,Entire home/apt,199,1,14,7/20/2015,0.15,2,158
219922,"Lovely Bdr in Harlem, Manhattan",1139574,Carmel,"Manhattan,Harlem",40.816,-73.95545,Private room,100,1,33,5/25/2019,0.38,1,84
220351,THE BEST DEAL ON THE HUDSON RIVER!!,921500,Boubacar And Pattee,"Manhattan,Harlem",40.82748,-73.95153,Private room,55,4,99,2/28/2019,1.04,1,260
220563,Lovely HUGE Master Bed + Study,918087,Kestrel,"Brooklyn,Bedford-Stuyvesant",40.68634,-73.95088,Private room,75,3,59,1/5/2017,0.62,3,0
220946,Newly Renoâ€™d Chic Quiet Exec 1BR,1144415,Lisa,"Manhattan,East Village",40.72229,-73.97901,Entire home/apt,146,3,142,6/16/2019,1.5,1,166
221043,1 Bedroom in prime Flatiron,846050,Eziah,"Manhattan,NoHo",40.72956,-73.99287,Private room,250,2,0,,,1,0
221097,Large Artist Floorthru- Greenpoint,1146744,Deborah,"Brooklyn,Greenpoint",40.72595,-73.95298,Entire home/apt,116,29,22,3/15/2019,0.23,1,335
221618,Gorgeous PermaGO Private Room in FiDi - 1/2,4887492,Gershwyn,"Manhattan,Tribeca",40.71193,-74.00817,Private room,150,3,82,5/21/2019,0.87,2,90
222054,CBG Helps Haiti Rm #3,22486,Lisel,"Brooklyn,Park Slope",40.68012,-73.97847,Private room,120,2,23,9/15/2018,0.24,6,342
222304,BEST DEAL IN CHELSEA 1 bdrm NYC,1153993,Anton,"Manhattan,Chelsea",40.74233,-73.99865,Entire home/apt,199,4,32,5/8/2019,0.34,1,28
223930,Lovely Apartment,1164642,Rosalynn,"Brooklyn,Prospect Heights",40.67424,-73.96665,Entire home/apt,150,5,24,6/23/2019,0.25,1,363
224004,Artsy Loft-like Harlem Apartment,1165231,Deirdre,"Manhattan,Harlem",40.80486,-73.95298,Private room,69,1,59,10/26/2018,0.63,2,86
224006,Harlem/Manhattan Classic Apartment,1165231,Deirdre,"Manhattan,Harlem",40.80307,-73.95048,Private room,300,55,6,1/2/2015,0.08,2,83
224510,"BEAUTIFUL APARTMENT, GREAT LOCATION",991380,Stefania,"Brooklyn,Boerum Hill",40.68653,-73.98562,Entire home/apt,230,4,18,7/5/2018,0.21,1,0
225297,Quiet sunny studio Midtown,1173599,Gaya,"Manhattan,Midtown",40.74267,-73.98569,Entire home/apt,125,4,3,12/26/2018,0.03,1,0
225306,Charming room in Victorian home,1112560,Mary,"Brooklyn,Bedford-Stuyvesant",40.68749,-73.95494,Private room,79,3,115,7/5/2019,1.21,3,264
225887,Brooklyn B & B close to Manhattan,663879,Christopher,"Brooklyn,Fort Greene",40.68645,-73.97538,Private room,130,3,154,6/19/2019,1.63,2,305
225926,The Notorious B.N.B. { The Erhart },1177497,Jessica,"Brooklyn,Clinton Hill",40.68999,-73.96711,Private room,239,1,164,7/1/2019,1.73,11,356
225976,Sunny cozy multileveled apartment!,1177947,Marina,"Staten Island,Shore Acres",40.61077,-74.06824,Entire home/apt,75,6,76,6/13/2019,0.8,1,278
226021,Sunny 2 bedroom Williamsburg Duplex w/ 3 beds,815977,Ryan,"Brooklyn,Williamsburg",40.71126,-73.94576,Entire home/apt,220,3,116,6/30/2019,1.23,2,135
227715,ROOM WITH KITCHENETTE #2,209460,Marylyn,"Brooklyn,Bedford-Stuyvesant",40.67855,-73.94949,Entire home/apt,80,3,234,6/30/2019,2.47,4,308
227735,Alpha-Bet City entire floor large cool 2br -L.E.S,1187935,Daniel,"Manhattan,East Village",40.72416,-73.9853,Entire home/apt,288,2,120,6/24/2019,1.27,1,229
228317,"Your Haven Awaits At ""Emma's Place""",1191142,Lady Jay,"Brooklyn,Bedford-Stuyvesant",40.68516,-73.92521,Entire home/apt,135,4,82,5/18/2019,0.87,1,273
228496,"Spacious, Kid-Friendly 2 BR in West Village",1192424,Gordon,"Manhattan,West Village",40.73507,-74.00048,Entire home/apt,225,3,13,5/26/2019,0.15,1,83
228517,Great Bedroom in Downtown Manhattan,1192610,Raven,"Manhattan,Chinatown",40.71611,-73.99828,Private room,110,30,59,6/24/2019,0.64,1,281
228925,Beautiful Brownstone,1194377,Marceline,"Brooklyn,Bedford-Stuyvesant",40.67964,-73.93946,Entire home/apt,100,7,63,6/26/2019,1.87,1,321
228979,1BDR - Hell's Kitchen Hideaway,1190088,Tim,"Manhattan,Hell's Kitchen",40.76189,-73.99,Private room,130,2,52,8/14/2018,0.55,1,303
229367,COMFY ROOM/COFFEE AND BAGEL/WEEKLY DISCOUNT,1097545,Carol,"Manhattan,East Village",40.72645,-73.98035,Private room,89,1,278,7/3/2019,2.95,3,192
229874,Oversized Studio in Park Slope,507304,Derrick,"Brooklyn,Sunset Park",40.66293,-73.99833,Entire home/apt,200,5,1,1/2/2012,0.01,1,0
230321,Apt with EmpireState view-Subway around the corner,1203500,Civan,"Brooklyn,Bedford-Stuyvesant",40.69046,-73.95167,Entire home/apt,80,2,35,6/9/2019,0.4,1,36
230854,Zen Yankee Stadium Pad 5 Minutes To Manhattan!,12221,Lori,"Bronx,Concourse",40.83001,-73.92158,Private room,50,5,235,6/29/2019,2.49,2,271
230877,Monthly Apartment Rental,292204,Blanca,"Manhattan,East Harlem",40.79239,-73.94535,Entire home/apt,135,28,115,6/30/2019,1.21,2,341
230956,Wonderfully inviting East Village,1207399,Mark,"Manhattan,East Village",40.72709,-73.98274,Private room,90,1,109,10/2/2015,1.15,1,333
231414,TURQUOISE: One-Bedroom Apt. in Soho,1184442,Roberto,"Manhattan,SoHo",40.72599,-74.00168,Private room,270,5,1,7/9/2013,0.01,1,210
232612,"Lovely pied-Ã -terre, in an historic building",1217241,Dee,"Brooklyn,Bedford-Stuyvesant",40.68309,-73.94219,Entire home/apt,110,3,305,6/27/2019,3.24,1,231
232618,"Spacious, well furnished, high fl. beautiful views",763420,Selma,"Manhattan,East Harlem",40.79442,-73.93433,Entire home/apt,145,1,102,6/18/2019,1.52,1,308
233189,NYC Studio in Heart of Times Square,1220414,Michael,"Manhattan,Hell's Kitchen",40.76166,-73.99675,Entire home/apt,179,30,83,5/31/2019,0.88,1,292
233638,rooms for rent in Queens with piano,1012895,Melody,"Queens,Ridgewood",40.70163,-73.90867,Private room,55,1,19,7/31/2018,0.25,1,311
233662,Large Sunny Luxe Prvt Room/Midtown,1223568,Tiffany,"Manhattan,Midtown",40.75575,-73.96842,Private room,110,2,61,5/18/2019,0.65,1,264
234184,Spacious Stunning Harlem Townhouse,902054,William,"Manhattan,Harlem",40.80903,-73.94197,Entire home/apt,325,5,89,6/30/2019,0.94,1,153
234870,Private Room With GREAT Location,1229984,John,"Queens,Long Island City",40.74581,-73.95295,Private room,75,30,65,7/31/2017,0.74,3,219
235552,HUGE Sunny Duplex Loft with Garden,1234405,Bertie,"Brooklyn,South Slope",40.66414,-73.98574,Entire home/apt,300,1,40,6/16/2019,0.44,1,0
235651,LARGE ARTSY Room w/ Loft Bed 4 DOOGLERS!,83257,Olan,"Manhattan,West Village",40.74,-74.00381,Private room,130,30,80,4/26/2019,0.86,2,332
235951,Stylish Studio with exclusive Terrace,1236070,Dan,"Manhattan,Midtown",40.75348,-73.97065,Entire home/apt,190,30,136,6/19/2019,1.45,1,120
235960,"LES private apt, 1 bedroom & more",1236817,Blue,"Manhattan,Lower East Side",40.72066,-73.98506,Entire home/apt,200,3,100,5/28/2018,1.06,1,191
236671,"Williamsburg Garden Home, 5 minutes from Manhattan",1240820,Triny,"Brooklyn,Williamsburg",40.71746,-73.95497,Entire home/apt,180,2,125,7/6/2019,1.36,3,248
236788,"HUGE, modern 2-LEVEL Brooklyn apt",4166168,Nick And NoÃ©mie,"Brooklyn,DUMBO",40.70257,-73.9847,Entire home/apt,350,5,40,4/14/2019,0.5,1,67
236806,charming 2bdrm apt in East Village,1151987,Juvie,"Manhattan,East Village",40.72264,-73.9837,Entire home/apt,160,4,0,,,1,0
237127,LOCATION LOCATION LOCATION Liz's,1146958,Liz,"Manhattan,Kips Bay",40.73833,-73.98186,Entire home/apt,195,30,139,4/28/2019,1.59,4,325
237210,Manhattan Loft in Prime East Village Location,1243192,Jacqueline,"Manhattan,Greenwich Village",40.73268,-73.99255,Entire home/apt,241,30,0,,,1,249
239055,Nolita Penthouse_Private Deck_Elev_,65064,Ashley & Nir,"Manhattan,Chinatown",40.71892,-73.99628,Entire home/apt,300,7,2,10/6/2014,0.03,1,0
239733,Astoria Garden Suite,1256874,Nancy,"Queens,Ditmars Steinway",40.77679,-73.91687,Entire home/apt,75,28,49,6/26/2019,0.53,1,313
239766,Lower East Side/Chinatown 1 Bedroom,1257309,Austin,"Manhattan,Lower East Side",40.71693,-73.98948,Entire home/apt,100,5,8,5/18/2018,0.11,1,0
239826,"Amazing 1 bed, live like a Newyorkr",1257760,Jay,"Manhattan,Gramercy",40.73685,-73.98359,Entire home/apt,399,1,0,,,1,12
239883,Private Room in Fort Green BK close to city,136962,Li,"Brooklyn,Fort Greene",40.68501,-73.97019,Private room,85,5,124,5/25/2019,1.32,1,69
239899,Spacious & Charming by Prospect Pk,1258363,Todd,"Brooklyn,Prospect-Lefferts Gardens",40.66068,-73.96003,Entire home/apt,80,21,5,12/19/2018,0.12,1,0
240800,Private Room Near Brooklyn Museum ,1263176,Joseph,"Brooklyn,Prospect Heights",40.67722,-73.96542,Private room,55,1,147,6/30/2019,1.57,1,293
241140,The Notorious B.N.B. { The Wallace },1177497,Jessica,"Brooklyn,Clinton Hill",40.68975,-73.96703,Private room,438,1,43,4/14/2019,0.46,11,363
241159,Clinton Hill 1 Bed Bright Loft Apartment,1264655,Ruari,"Brooklyn,Bedford-Stuyvesant",40.69221,-73.95866,Entire home/apt,110,6,8,1/3/2019,0.33,1,4
241862,Great Studio in W. Village - NYC!,1269455,Mike,"Manhattan,West Village",40.72969,-74.00635,Entire home/apt,200,2,37,1/2/2019,0.39,1,257
242532,The Notorious B.N.B. { The Swoon },1177497,Jessica,"Brooklyn,Clinton Hill",40.6893,-73.96602,Private room,279,1,120,6/19/2019,1.28,11,362
242643,"BIG 1br, SLEEPS 4, dishwashr, TV",1273825,Lauryn,"Brooklyn,Williamsburg",40.70832,-73.94157,Entire home/apt,137,1,24,1/1/2019,0.29,1,0
243229,2BR  Apt - 20min to Soho,1276497,Alon,"Brooklyn,Bedford-Stuyvesant",40.68016,-73.94878,Entire home/apt,280,3,5,7/9/2017,0.05,1,365
243708,Williamsburg  - Quiet and Comfy stay,288711,Andy,"Brooklyn,Williamsburg",40.70875,-73.95508,Entire home/apt,199,30,242,4/1/2019,2.59,1,102
245504,One Fabulous Private Room,714200,Baron,"Manhattan,Inwood",40.85888,-73.92886,Private room,71,4,229,6/21/2019,2.45,1,26
245544,NY/ Big Room for 2 near Manhattan,1260921,Victor,"Bronx,Kingsbridge",40.8679,-73.90023,Private room,42,2,108,6/19/2019,1.36,2,302
245574,Brooklyn Brownstone apartment,1288460,Al-,"Brooklyn,Bedford-Stuyvesant",40.6889,-73.95383,Entire home/apt,180,2,181,6/5/2019,1.92,1,280
245607,big 1 bedroom apt very central,825022,Jaidev,"Manhattan,Chelsea",40.75127,-73.99637,Entire home/apt,226,5,34,7/1/2019,0.39,1,302
246134,"Lovely, Large Room in Crown Heights",283604,Shelley,"Brooklyn,Crown Heights",40.67607,-73.94421,Private room,85,3,5,10/2/2016,0.05,1,281
246351,"Sweet Apt, Steps From Gramercy Park",1292250,Jerry,"Manhattan,Gramercy",40.73834,-73.9823,Entire home/apt,135,1,5,8/17/2015,0.06,1,0
246916,Quality Cozy Studio Next to Subway,3647,Rafael,"Queens,Elmhurst",40.7347,-73.88066,Entire home/apt,79,4,60,6/25/2019,0.64,2,297
246938,Scandinavian-apt for up to 5. LES,936630,Jens,"Manhattan,Lower East Side",40.71876,-73.98851,Entire home/apt,154,1,238,6/23/2019,2.59,1,246
248865,Loft Suite @ Box House Hotel,417504,The Box House Hotel,"Brooklyn,Greenpoint",40.73787,-73.95385,Entire home/apt,199,3,34,4/22/2019,0.37,28,60
248871,4 BEDROOM -2BATHRM WEST VILLAGE DUPLEX  TOWNHOUSE,605463,West Village,"Manhattan,West Village",40.73066,-74.00287,Entire home/apt,700,3,131,6/24/2019,1.4,4,296
249414,Large & bright 900ftÂ² 1br in WV,1306587,Andy,"Manhattan,West Village",40.73291,-74.00059,Entire home/apt,246,4,6,6/28/2017,0.16,1,0
249618,At a very nice area in the WestSide,1307773,Karina,"Manhattan,Washington Heights",40.85099,-73.92822,Private room,125,60,4,7/3/2015,0.06,1,364
249867,HANCOCK VERY SMALL ROOM,758441,Fred,"Brooklyn,Bedford-Stuyvesant",40.68707,-73.91918,Private room,100,1,7,10/7/2018,0.08,4,281
250259,Pre-War Williamsburg Loft,1311398,Ben,"Brooklyn,Williamsburg",40.7184,-73.96019,Entire home/apt,295,5,125,7/7/2019,3.04,1,0
250311,1 Bedroom Available In My Two Bedroom Flat,945499,Kyle,"Brooklyn,Crown Heights",40.67495,-73.95563,Private room,150,3,0,,,1,0
250323,SPACIOUS PRIVATE LITTLE ITALY FLAT,1311870,Christy,"Manhattan,Chinatown",40.71582,-73.99902,Entire home/apt,119,1,49,12/3/2014,0.58,1,0
250536,The Lenox in Harlem,1313306,Yvette,"Manhattan,Harlem",40.81068,-73.94288,Private room,125,1,11,9/25/2017,0.12,2,365
250537,The Lenox in Harlem,1313306,Yvette,"Manhattan,Harlem",40.81122,-73.94279,Entire home/apt,400,5,0,,,2,365
250801, Heart & Soul of Greenwich Village ,1314834,Rhona,"Manhattan,Greenwich Village",40.73129,-73.99944,Entire home/apt,850,3,107,5/23/2019,1.15,1,249
251262,Prime Williamsburg Loft off Bedford,1278802,Anne,"Brooklyn,Williamsburg",40.71628,-73.95737,Private room,129,2,241,6/29/2019,2.6,1,303
251277,Private Bdrm /Bath 1 block Ctrl Prk,1317343,Carol,"Manhattan,Upper West Side",40.78558,-73.9726,Private room,140,1,176,6/29/2019,1.89,1,300
252076,+Highly Satisfactory LES dwelling++,297769,Tunji,"Manhattan,Chinatown",40.7146,-73.991,Private room,115,4,151,6/16/2019,1.63,2,323
252607,Whole apartment / 2 bedroom in NYC,1325961,Chris,"Manhattan,East Harlem",40.79493,-73.94462,Entire home/apt,200,3,49,8/9/2018,0.53,2,0
253332,"Spacious, modern loft in awesome neighborhood",552343,Cynthia,"Brooklyn,Sunset Park",40.6623,-73.99049,Entire home/apt,96,120,13,9/1/2018,0.14,1,204
