,cut,color,clarity,carat,depth,table,x,y,z,price
124,Fair,F,VS2,0.7,64.5,57,5.57,5.53,3.58,2762
125,Fair,F,VS2,0.7,65.3,55,5.63,5.58,3.66,2762
126,Premium,F,VS2,0.7,61.6,60,5.65,5.59,3.46,2762
127,Premium,H,SI1,0.91,61.4,56,6.09,5.97,3.7,2763
128,Very Good,D,VVS2,0.61,59.6,57,5.56,5.58,3.32,2763
129,Fair,H,SI2,0.91,64.4,57,6.11,6.09,3.93,2763
130,Fair,H,SI2,0.91,65.7,60,6.03,5.99,3.95,2763
131,Ideal,H,VS2,0.77,62,56,5.89,5.86,3.64,2763
132,Very Good,D,SI1,0.71,63.6,58,5.64,5.68,3.6,2764
133,Ideal,D,SI1,0.71,61.9,59,5.69,5.72,3.53,2764
134,Very Good,E,VS2,0.7,62.6,60,5.62,5.65,3.53,2765
135,Very Good,H,VS1,0.77,61.3,60,5.88,5.9,3.61,2765
136,Premium,E,VVS1,0.63,60.9,60,5.52,5.55,3.37,2765
137,Very Good,F,VS1,0.71,60.1,62,5.74,5.77,3.46,2765
138,Premium,F,VS1,0.71,61.8,59,5.69,5.73,3.53,2765
139,Ideal,H,SI1,0.76,61.2,57,5.88,5.91,3.61,2765
140,Ideal,G,VVS1,0.64,61.9,56,5.53,5.56,3.43,2766
141,Premium,G,VS2,0.71,60.9,57,5.78,5.75,3.51,2766
142,Premium,G,VS2,0.71,59.8,56,5.89,5.81,3.5,2766
143,Very Good,D,VS2,0.7,61.8,55,5.68,5.72,3.52,2767
144,Very Good,F,VS1,0.7,60,57,5.8,5.87,3.5,2767
145,Ideal,D,SI2,0.71,61.6,55,5.74,5.76,3.54,2767
146,Good,H,VVS2,0.7,62.1,64,5.62,5.65,3.5,2767
147,Very Good,G,VS1,0.71,63.3,59,5.52,5.61,3.52,2768
148,Very Good,D,SI1,0.73,60.2,56,5.83,5.87,3.52,2768
149,Very Good,D,SI1,0.7,61.1,58,5.66,5.73,3.48,2768
150,Ideal,E,SI1,0.7,60.9,57,5.73,5.76,3.5,2768
151,Premium,D,SI2,0.71,61.7,59,5.71,5.67,3.51,2768
152,Ideal,I,SI1,0.74,61.3,56,5.82,5.86,3.57,2769
153,Premium,D,VS2,0.71,62.5,60,5.65,5.61,3.52,2770
154,Premium,G,VS2,0.73,61.4,59,5.83,5.76,3.56,2770
155,Very Good,F,SI1,0.76,62.9,57,5.79,5.81,3.65,2770
156,Ideal,D,SI2,0.76,62.4,57,5.78,5.83,3.62,2770
157,Ideal,F,SI1,0.71,60.7,56,5.77,5.8,3.51,2770
158,Premium,G,VS2,0.73,60.7,58,5.87,5.82,3.55,2770
159,Premium,G,VS1,0.73,61.5,58,5.79,5.75,3.55,2770
160,Ideal,D,SI2,0.73,59.9,57,5.92,5.89,3.54,2770
161,Premium,G,VS2,0.73,59.2,59,5.92,5.87,3.49,2770
162,Very Good,H,VVS2,0.72,60.3,56,5.81,5.83,3.51,2771
163,Very Good,F,SI1,0.73,61.7,60,5.79,5.82,3.58,2771
164,Ideal,G,VS2,0.71,61.9,57,5.73,5.77,3.56,2771
165,Ideal,F,SI2,0.79,61.9,55,5.97,5.92,3.68,2771
166,Very Good,H,VVS1,0.73,60.4,59,5.83,5.89,3.54,2772
167,Very Good,F,SI2,0.8,61,57,6.01,6.03,3.67,2772
168,Ideal,G,VVS1,0.58,61.5,55,5.39,5.44,3.33,2772
169,Ideal,F,VVS1,0.58,61.7,56,5.33,5.37,3.3,2772
170,Good,E,VS2,0.71,59.2,61,5.8,5.88,3.46,2772
171,Ideal,D,SI2,0.75,61.3,56,5.85,5.89,3.6,2773
172,Premium,D,VS2,0.7,58,62,5.87,5.78,3.38,2773
173,Very Good,J,I1,1.17,60.2,61,6.83,6.9,4.13,2774
174,Ideal,E,VS1,0.6,61.7,55,5.41,5.44,3.35,2774
175,Ideal,E,SI1,0.7,62.7,55,5.68,5.74,3.58,2774
176,Good,I,VS2,0.83,64.6,54,5.85,5.88,3.79,2774
177,Very Good,F,VS2,0.74,61.3,61,5.8,5.84,3.57,2775
178,Very Good,G,VS2,0.72,63.7,56.4,5.62,5.69,3.61,2776
179,Premium,E,VS2,0.71,62.7,58,5.74,5.68,3.58,2776
180,Ideal,E,VS2,0.71,62.2,57,5.79,5.62,3.55,2776
181,Ideal,E,VVS2,0.54,61.6,56,5.25,5.27,3.24,2776
182,Ideal,E,VVS2,0.54,61.5,57,5.24,5.26,3.23,2776
183,Ideal,G,SI1,0.72,61.8,56,5.72,5.75,3.55,2776
184,Ideal,G,SI1,0.72,60.7,56,5.79,5.82,3.53,2776
185,Good,G,VS2,0.72,59.7,60.5,5.8,5.84,3.47,2776
186,Ideal,G,SI1,0.71,60.5,56,5.8,5.76,3.5,2776
187,Very Good,D,VS1,0.7,62.7,58,5.66,5.73,3.57,2777
188,Premium,F,VS2,0.71,62.1,58,5.67,5.7,3.53,2777
189,Very Good,F,VS2,0.71,62.8,57,5.64,5.69,3.56,2777
190,Good,F,VS2,0.71,63.8,58,5.61,5.64,3.59,2777
191,Good,F,VS2,0.71,57.8,60,5.87,5.9,3.4,2777
192,Ideal,E,VS2,0.7,62.1,55,5.7,5.67,3.53,2777
193,Premium,E,VS2,0.7,61.1,60,5.71,5.64,3.47,2777
194,Premium,E,SI1,0.7,60,59,5.79,5.75,3.46,2777
195,Premium,E,SI1,0.7,61.2,57,5.73,5.68,3.49,2777
196,Premium,E,SI1,0.7,62.7,59,5.67,5.63,3.54,2777
197,Premium,E,SI1,0.7,61,57,5.73,5.68,3.48,2777
198,Premium,E,SI1,0.7,61,58,5.78,5.72,3.51,2777
199,Ideal,E,SI1,0.7,61.4,57,5.76,5.7,3.52,2777
200,Premium,F,SI1,0.72,61.8,61,5.82,5.71,3.56,2777
201,Very Good,E,SI1,0.7,59.9,63,5.76,5.7,3.43,2777
202,Premium,E,SI1,0.7,61.3,58,5.71,5.68,3.49,2777
203,Premium,E,SI1,0.7,60.5,58,5.77,5.74,3.48,2777
204,Good,E,VS2,0.7,64.1,59,5.64,5.59,3.6,2777
205,Fair,H,SI2,0.98,67.9,60,6.05,5.97,4.08,2777
206,Premium,F,SI1,0.78,62.4,58,5.83,5.8,3.63,2777
207,Very Good,E,SI1,0.7,63.2,60,5.6,5.51,3.51,2777
208,Ideal,F,VVS1,0.52,61.3,55,5.19,5.22,3.19,2778
209,Very Good,H,VS2,0.73,60.8,56,5.82,5.84,3.55,2779
210,Ideal,E,SI1,0.74,61.7,56,5.84,5.8,3.59,2779
211,Very Good,F,VS2,0.7,63.6,57,5.61,5.65,3.58,2780
212,Premium,G,VS2,0.77,61.2,58,5.9,5.93,3.62,2780
213,Ideal,F,VS2,0.71,62.1,54,5.68,5.72,3.54,2780
214,Ideal,G,VS1,0.74,61.5,55,5.81,5.86,3.59,2780
215,Ideal,G,VS1,0.7,61.4,59,5.64,5.73,3.49,2780
216,Premium,F,I1,1.01,61.8,60,6.39,6.36,3.94,2781
217,Ideal,H,SI1,0.77,62.2,56,5.83,5.88,3.64,2781
218,Ideal,H,SI1,0.78,61.2,56,5.92,5.99,3.64,2781
219,Very Good,H,VS1,0.72,60.6,63,5.83,5.76,3.51,2782
220,Very Good,D,VVS2,0.53,57.5,64,5.34,5.37,3.08,2782
221,Ideal,G,VS2,0.76,61.3,56,5.9,5.94,3.63,2782
222,Good,E,VS1,0.7,57.2,62,5.81,5.77,3.31,2782
223,Premium,E,VS1,0.7,62.9,60,5.62,5.54,3.51,2782
224,Very Good,D,SI2,0.75,63.1,58,5.78,5.73,3.63,2782
225,Ideal,D,SI1,0.72,60.8,57,5.76,5.75,3.5,2782
226,Premium,D,SI1,0.72,62.7,59,5.73,5.69,3.58,2782
227,Premium,D,SI1,0.7,62.8,60,5.68,5.66,3.56,2782
228,Fair,G,SI1,0.84,55.1,67,6.39,6.2,3.47,2782
229,Premium,F,SI1,0.75,61.4,59,5.88,5.85,3.6,2782
230,Ideal,F,IF,0.52,62.2,55,5.14,5.18,3.21,2783
231,Very Good,F,VS2,0.72,63,54,5.69,5.73,3.6,2784
232,Very Good,H,VS1,0.79,63.7,56,5.85,5.92,3.75,2784
233,Very Good,F,VS2,0.72,63.6,58,5.66,5.69,3.61,2787
234,Ideal,F,VVS1,0.51,62,57,5.11,5.15,3.18,2787
235,Ideal,D,VS1,0.64,61.5,56,5.54,5.55,3.41,2787
236,Very Good,H,VVS1,0.7,60.5,60,5.74,5.77,3.48,2788
237,Very Good,I,VS1,0.83,61.1,60,6.07,6.1,3.72,2788
238,Ideal,I,VVS2,0.76,61.8,56,5.85,5.87,3.62,2788
239,Good,D,VS2,0.71,63.3,56,5.64,5.68,3.58,2788
240,Good,G,VS1,0.77,59.4,64,5.97,5.92,3.53,2788
241,Ideal,F,SI1,0.71,62.5,55,5.71,5.65,3.55,2788
242,Fair,E,I1,1.01,64.5,58,6.29,6.21,4.03,2788
243,Premium,H,SI2,1.01,62.7,59,6.31,6.22,3.93,2788
244,Good,F,SI1,0.77,64.2,52,5.81,5.77,3.72,2789
245,Good,E,SI1,0.76,63.7,54,5.76,5.85,3.7,2789
246,Premium,E,SI1,0.76,60.4,58,5.92,5.94,3.58,2789
247,Premium,E,SI1,0.76,61.8,58,5.82,5.86,3.61,2789
248,Very Good,J,SI2,1.05,63.2,56,6.49,6.45,4.09,2789
249,Ideal,G,SI2,0.81,61.6,56,5.97,6.01,3.69,2789
250,Ideal,E,SI1,0.7,61.6,56,5.72,5.75,3.53,2789
251,Ideal,G,IF,0.55,60.9,57,5.28,5.3,3.22,2789
252,Good,G,SI2,0.81,61,61,5.94,5.99,3.64,2789
253,Premium,E,VVS2,0.63,62.1,57,5.48,5.41,3.38,2789
254,Premium,E,VVS1,0.63,60.9,60,5.55,5.52,3.37,2789
255,Premium,H,VS1,0.77,61.3,60,5.9,5.88,3.61,2789
256,Fair,J,SI2,1.05,65.8,59,6.41,6.27,4.18,2789
257,Ideal,G,IF,0.64,61.3,56,5.54,5.58,3.41,2790
258,Premium,I,VVS1,0.76,58.8,59,6,5.94,3.51,2790
259,Ideal,F,SI2,0.83,62.3,55,6.02,6.05,3.76,2790
260,Premium,F,VS1,0.71,60.1,62,5.77,5.74,3.46,2790
261,Premium,F,VS1,0.71,61.8,59,5.73,5.69,3.53,2790
262,Very Good,I,SI1,0.87,63.6,55.8,6.07,6.1,3.87,2791
263,Ideal,E,SI1,0.73,62.2,56,5.74,5.78,3.58,2791
264,Premium,E,SI1,0.71,59.2,59,5.83,5.86,3.46,2792
265,Premium,E,SI1,0.71,61.8,59,5.7,5.75,3.54,2792
266,Ideal,E,SI1,0.71,61.3,55,5.72,5.77,3.52,2792
267,Premium,F,VS1,0.7,62.1,60,5.71,5.65,3.53,2792
268,Premium,F,VS1,0.7,60.7,60,5.78,5.75,3.5,2792
269,Premium,H,VVS2,0.76,59.6,57,5.91,5.86,3.51,2792
270,Ideal,F,VS1,0.7,62.2,56,5.73,5.68,3.55,2792
271,Very Good,G,SI1,0.79,60.6,57,5.98,6.06,3.65,2793
272,Very Good,E,VS2,0.7,62.9,57,5.66,5.69,3.57,2793
273,Good,E,VS2,0.7,64.1,55,5.6,5.66,3.61,2793
274,Ideal,I,VS2,0.76,61.3,56,5.87,5.91,3.61,2793
275,Ideal,H,VS2,0.73,62.7,55,5.72,5.76,3.6,2793
276,Very Good,E,SI1,0.79,63.2,56,5.91,5.86,3.72,2794
277,Very Good,E,VS2,0.71,60.7,56,5.81,5.82,3.53,2795
278,Premium,I,VVS2,0.81,61.9,60,5.91,5.86,3.64,2795
279,Ideal,F,SI2,0.81,62.6,55,5.92,5.96,3.72,2795
280,Good,F,VS1,0.72,60.7,60,5.74,5.72,3.48,2795
281,Premium,D,SI2,0.72,62,60,5.73,5.69,3.54,2795
282,Premium,I,IF,0.72,63,57,5.72,5.7,3.6,2795
283,Premium,H,VS2,0.81,58,59,6.17,6.13,3.57,2795
284,Premium,G,VS2,0.72,62.9,57,5.73,5.65,3.58,2795
285,Premium,I,SI2,1,58.2,60,6.61,6.55,3.83,2795
286,Good,E,SI1,0.73,63.2,58,5.7,5.76,3.62,2796
287,Very Good,H,SI2,0.81,61.3,59,5.94,6.01,3.66,2797
288,Very Good,E,SI1,0.81,60.3,60,6.07,6.1,3.67,2797
289,Premium,D,SI1,0.71,62.7,60,5.67,5.71,3.57,2797
290,Premium,D,SI1,0.71,61.3,58,5.73,5.75,3.52,2797
291,Premium,D,SI1,0.71,61.6,60,5.74,5.69,3.52,2797
292,Ideal,F,VVS2,0.57,61.9,55,5.34,5.35,3.31,2797
293,Ideal,D,VVS1,0.51,61.7,56,5.12,5.16,3.17,2797
294,Ideal,G,VS2,0.72,61.9,58,5.72,5.75,3.55,2797
295,Ideal,H,VS1,0.74,61.8,58,5.77,5.81,3.58,2797
296,Ideal,H,VS1,0.74,61.6,56,5.81,5.82,3.58,2797
297,Fair,G,VVS1,0.7,58.8,66,5.81,5.9,3.44,2797
298,Premium,F,SI2,0.8,61,57,6.03,6.01,3.67,2797
299,Fair,E,SI2,1.01,67.4,60,6.19,6.05,4.13,2797
300,Very Good,H,VS2,0.8,63.4,60,5.92,5.82,3.72,2797
301,Ideal,I,VS1,0.77,61.5,59,5.87,5.91,3.62,2798
302,Very Good,E,SI2,0.83,58,62,6.19,6.25,3.61,2799
303,Ideal,F,SI2,0.82,62.4,54,5.97,6.02,3.74,2799
304,Ideal,D,SI1,0.78,61.9,57,5.91,5.86,3.64,2799
305,Very Good,G,IF,0.6,61.6,56,5.43,5.46,3.35,2800
306,Good,I,SI2,0.9,62.2,59,6.07,6.11,3.79,2800
307,Premium,E,VS1,0.7,62.2,58,5.6,5.66,3.5,2800
308,Very Good,I,SI2,0.9,61.3,56,6.17,6.23,3.8,2800
309,Ideal,G,SI1,0.83,62.3,57,5.99,6.08,3.76,2800
310,Ideal,G,SI1,0.83,61.8,57,6.03,6.07,3.74,2800
311,Very Good,H,SI1,0.83,62.5,59,5.95,6.02,3.74,2800
312,Premium,G,VS1,0.74,62.9,60,5.74,5.68,3.59,2800
313,Ideal,I,VS1,0.79,61.8,59,5.92,5.95,3.67,2800
314,Ideal,G,IF,0.61,62.3,56,5.43,5.45,3.39,2800
315,Fair,G,VS1,0.76,59,70,5.89,5.8,3.46,2800
316,Ideal,F,I1,0.96,60.7,55,6.37,6.41,3.88,2801
317,Ideal,F,VS2,0.73,62.5,55,5.8,5.76,3.61,2801
318,Premium,F,VS2,0.73,62.7,58,5.76,5.7,3.59,2801
319,Ideal,H,SI1,0.75,60.4,57,5.93,5.96,3.59,2801
320,Premium,F,VS2,0.71,62.1,58,5.7,5.67,3.53,2801
321,Good,F,VS2,0.71,57.8,60,5.9,5.87,3.4,2801
322,Good,F,VS2,0.71,63.8,58,5.64,5.61,3.59,2801
323,Premium,F,VS2,0.71,62.8,57,5.69,5.64,3.56,2801
324,Premium,G,I1,1.04,62.2,58,6.46,6.41,4,2801
325,Premium,J,SI2,1,62.3,58,6.45,6.34,3.98,2801
326,Very Good,G,SI2,0.87,59.9,58,6.19,6.23,3.72,2802
327,Ideal,F,IF,0.53,61.9,54,5.22,5.25,3.24,2802
328,Premium,E,VS2,0.72,63,55,5.79,5.61,3.59,2802
329,Premium,F,VS1,0.72,62.4,58,5.83,5.7,3.6,2802
330,Very Good,F,VS2,0.7,62.9,58,5.63,5.65,3.55,2803
331,Very Good,E,SI1,0.74,63.5,56,5.74,5.79,3.66,2803
332,Ideal,G,VS2,0.71,61.3,56,5.75,5.71,3.51,2803
333,Ideal,E,SI1,0.73,60.6,54,5.84,5.89,3.55,2803
334,Good,G,VS1,0.7,65.1,58,5.56,5.59,3.63,2803
335,Premium,F,VS2,0.71,62.6,58,5.7,5.67,3.56,2803
336,Premium,F,VS2,0.71,58,62,5.85,5.81,3.38,2803
337,Premium,G,VS1,0.71,62.4,61,5.7,5.65,3.54,2803
338,Premium,G,VS2,0.77,61.3,57,5.93,5.88,3.62,2803
339,Premium,G,VS2,0.71,59.9,60,5.81,5.77,3.47,2803
340,Premium,G,VS2,0.78,60.8,58,6.03,5.95,3.64,2803
341,Very Good,G,VS1,0.71,63.5,55,5.66,5.64,3.59,2803
342,Ideal,D,SI2,0.91,62.2,57,6.21,6.15,3.85,2803
343,Very Good,E,VS2,0.71,63.8,58,5.62,5.66,3.6,2804
344,Very Good,E,VS2,0.71,64,57,5.66,5.68,3.63,2804
345,Very Good,E,SI2,0.8,62.5,56,5.88,5.96,3.7,2804
346,Very Good,D,SI1,0.7,62.3,58,5.69,5.73,3.56,2804
347,Ideal,F,VS1,0.72,61.7,57,5.74,5.77,3.55,2804
348,Very Good,F,VS1,0.72,62.2,58,5.75,5.7,3.56,2804
349,Ideal,H,VS2,0.82,61.5,56,6.01,6.08,3.72,2804
350,Ideal,D,SI1,0.7,61,59,5.68,5.7,3.47,2804
351,Ideal,D,SI1,0.72,62.2,56,5.74,5.77,3.58,2804
352,Ideal,D,SI1,0.72,61.5,54,5.77,5.8,3.56,2804
353,Fair,I,SI1,0.9,67.3,59,5.93,5.84,3.96,2804
354,Premium,F,VS2,0.74,61.7,58,5.85,5.78,3.59,2805
355,Premium,F,VS2,0.74,61.9,56,5.8,5.77,3.58,2805
356,Ideal,E,SI2,0.73,61.8,58,5.77,5.81,3.58,2805
357,Fair,E,VVS1,0.57,58.7,66,5.34,5.43,3.16,2805
358,Premium,F,VS2,0.73,62.5,57,5.75,5.7,3.58,2805
359,Ideal,G,VS2,0.72,62.8,56,5.74,5.7,3.59,2805
360,Fair,F,VS2,0.74,61.1,68,5.82,5.75,3.53,2805
361,Good,G,VS2,0.82,64,57,5.92,5.89,3.78,2805
362,Very Good,G,SI1,0.81,62.5,60,5.89,5.94,3.69,2806
363,Very Good,H,VVS1,0.75,60.6,58,5.85,5.9,3.56,2806
364,Ideal,F,SI1,0.7,61.6,55,5.72,5.74,3.53,2806
365,Very Good,F,VS1,0.71,62.2,58,5.66,5.72,3.54,2807
366,Very Good,F,VS1,0.71,60,57,5.84,5.9,3.52,2807
367,Premium,J,SI2,0.93,61.9,57,6.21,6.19,3.84,2807
368,Very Good,H,VS2,0.8,62.8,57,5.87,5.91,3.7,2808
369,Very Good,F,VS1,0.7,62,57,5.64,5.71,3.52,2808
370,Fair,G,I1,1,66.4,59,6.16,6.09,4.07,2808
371,Very Good,G,VS2,0.75,63.4,56,5.78,5.74,3.65,2808
372,Ideal,E,VVS2,0.58,60.9,56,5.41,5.43,3.3,2808
373,Very Good,D,SI1,0.73,63.1,57,5.74,5.7,3.61,2808
374,Very Good,F,SI1,0.81,63.1,59,5.85,5.79,3.67,2809
375,Premium,D,SI2,0.81,59.2,57,6.15,6.05,3.61,2809
376,Premium,F,SI1,0.71,60.7,54,5.84,5.8,3.53,2809
